stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,8.17,57.21,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,5.35,1.07,0,4.28,0,0,1.07,0,0,0
21Day,1.34,0,0,4.02,1.34,0,2.68,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,2.68,2.68,0,0,0,0,0,0,0,5.35
3Month,0.64,0,0.32,7.68,0,0.64,0,0.32,1.92,0,9.28,1.28,2.56,5.12,0.64,1.92,3.52,2.88,0.64,0,0.32,0.64,1.92,0,0.32,0.32,2.24,10.88,0,0,1.92,28.48
22Month,0,3.28,1.09,5.47,0,0,0,3.28,2.73,2.19,34.99,0.55,1.64,7.11,0,1.09,8.2,9.84,0,1.64,0.55,0,1.64,0,0.55,0.55,0.55,8.75,0.55,1.09,0,61.23
