stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,8.56,0,1.07,0,0,0,2.14,1.07,0,0,0,0
21Day,0,0,4.02,1.34,0,0,1.34,0,0,1.34,13.39,0,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0,0,6.08,0.32,1.92,0.64,3.84,1.6,4.48,0.64,0.32,0.64,0.64,0.32,0.32,0,0,0,0,0.64,0.32,1.28
22Month,0,0.55,3.28,0,1.09,1.09,6.01,0.55,7.11,0.55,0.55,1.09,1.09,0.55,0,0,0,0,0,1.09,0.55,0
