stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,159.37,0,4.09,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,4.09,143.02,0,0,0,0,40.86,339.17,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,8.56,5.35,0,12.84,9.63,22.47,0,1.07,0,1.07,0,0,0,0,0,0,2.14,82.37,1.07,68.47,0,2.14,2.14,0,35.3,24.61,0,0,116.61,0,0,1.07,7.49,0,4.28,0,0,0
21Day,2.68,0,0,24.09,9.37,81.65,0,10.71,0,1.34,0,0,0,0,2.68,0,0,18.74,4.02,65.59,0,0,4.02,0,9.37,9.37,0,0,56.22,4.02,0,6.69,1.34,1.34,0,0,0,0
3Month,0,1.28,0.32,9.6,0,0,1.28,0,2.56,1.92,0,0,4.16,16,0,2.88,1.28,8.64,3.84,12.8,0.64,0,0.96,2.24,1.28,0.32,0,0.32,0.64,1.28,0.32,104.62,0.64,0,0.32,0.96,7.68,1.92
22Month,0,0.55,1.09,7.11,0,0,0.55,1.09,0,4.37,37.72,0,13.12,55.76,0,0.55,0.55,1.64,10.39,8.2,0.55,0.55,0,0.55,0,0.55,0.55,0.55,0,0,0,72.16,0,0,0,0,0,0
