stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,16.35,4.09,0,0
72hpf,1.07,0,0,1.07,2.14,2.14,2.14,0,0
21Day,0,2.68,0,0,1.34,1.34,4.02,1.34,0
3Month,0,0.32,0.64,0.32,0,0,0,0,0.32
