stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Spermatocyte
72hpf,1.07,1.07,0,0,0,0,1.07,55.63,1.07,1.07,0
21Day,2.68,1.34,0,0,0,0,0,26.77,1.34,0,0
3Month,0.32,0,0.96,0.32,0.32,0,0,0.64,0,0,0.64
22Month,0,0,1.09,0.55,0,1.09,0,0.55,0,0,0
