stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,12.26,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,0,0,0,0,0,1.07,2.14,0,1.07,106.98,12.84,2.14,5.35,0,3.21,0,0
21Day,2.68,2.68,4.02,1.34,0,0,0,0,4.02,0,0,1.34,9.37,26.77,8.03,0,5.35,0,1.34,1.34,2.68
3Month,0,0.32,0,0,0.32,0.32,0.96,1.28,0,0,0,0.32,0.64,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0,1.09,0.55,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0.55
