stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,10.7,0,0,0,0,0,0,2.14,6.42,0,1.07,0,0,0,0,0,0,8.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,2.68,0,0,0,2.68,0,18.74,0,0,0,0,0,0
3Month,0.32,1.28,1.28,16,0,0,0.32,0.32,0.96,4.16,0.32,14.72,3.84,6.4,0.96,3.84,5.76,6.08,1.28,0.32,2.24,3.2,0.64,0,0,0.64,0,0.64,7.04,798.91,0.32,0,0,1.6,20.16,4.8
22Month,0,0.55,0.55,2.19,0.55,0,0,0,0,7.11,0.55,10.93,0,1.09,0.55,0,2.73,2.73,1.09,1.09,0.55,0,0.55,0,0.55,0.55,7.65,0,0.55,154.16,0,1.09,0,0,0,1.09
