stage,Epithelial_cell,Hepatocyte,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,12.26,0,0,0
21Day,1.34,0,0,0,1.34,0
3Month,0.32,0.32,0,0.32,0,0.32
