stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,1.07,0,1.07,1.07,2.14,28.88,5.35,0,2.14,1.07,0,0,0,0,0
21Day,8.03,1.34,4.02,0,1.34,0,0,0,0,0,9.37,8.03,6.69,0,0,0,0,1.34,1.34,0,0
3Month,0,3.2,0.32,0.32,1.6,0.96,0,0.32,0.32,3.2,0.96,0.96,0,0.32,0,0.32,0.96,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0
