stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,9.92,0,0,0.64,2.88,0,33.27,8.32,0,2.56,1.6,2.88,3.52,1.28,0.64,0,0.64,0.64,0,0,0,0,0.96,4.8,0,0.64,0.32,2.56
22Month,0.55,0,1.64,7.11,0,1.09,1.09,13.67,0.55,67.79,8.75,1.09,10.39,0,1.64,3.83,1.64,0,2.19,0.55,0,0.55,0,0.55,0.55,0,0,1.09,0,0,1.09
