stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0
72hpf,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,1.34,0,1.34,2.68,0,0,0,2.68,1.34,0,0,0,1.34
3Month,0.32,2.88,0,0.32,0,0.64,1.6,0.32,0.32,0.32,0.64,0,0,0.32,0.64,0.96,0.32
22Month,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0
