stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,0
21Day,0,0,5.35,2.68,1.34,0,0,2.68,0,0,2.68,0,1.34,0,1.34,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34
3Month,0.32,0,0.64,0,0,0.32,0,3.2,1.28,0,4.8,0,0.32,0,0.64,0,0,0,0,0,0.32,0,0,0,0.32,0,0
22Month,1.09,0.55,1.64,0,0.55,2.19,2.19,68.88,0.55,0.55,79.26,0,1.64,1.64,2.19,0.55,1.64,0.55,0,0.55,0,0.55,0.55,0.55,1.09,0,1.09
