stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,420.9,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,12.26,0,0,0,4.09,0,163.46,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,78.09,2.14,1.07,0,0,0,0,0,0,0,0,0,5.35,142.28,5.35,9.63,0,0,0,0,12.84,18.19,2.14,11.77,0,0,4.28,0,6.42,0,0,0
21Day,8.03,0,0,172.67,1.34,4.02,0,1.34,0,0,0,1.34,0,4.02,0,5.35,100.39,0,10.71,0,0,1.34,0,5.35,9.37,0,12.05,10.71,1.34,1.34,2.68,0,0,0,1.34
3Month,0,1.28,0,36.15,1.6,0,0.32,0.32,0.64,0.96,0.96,9.92,0.64,0.32,2.24,1.92,26.88,4.16,2.88,0.32,0.64,0.64,0.32,1.6,1.28,2.56,0.64,0.32,11.52,2.88,0,0.64,7.68,3.84,0.64
22Month,0,3.28,1.09,16.4,0,0,0,0,0.55,2.19,109.88,27.88,1.09,1.09,4.92,1.09,10.93,1.09,2.73,0,0.55,0.55,0,0,0.55,2.73,0,0.55,1.64,7.11,0,0.55,2.19,0,1.64
