stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,0,28.6,0,0,0,0,0,0,0,0,0,0,0,12.26,20.43,49.04,0,0,4.09,16.35,498.54,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,8.56,4.28,0,13.91,2.14,5.35,0,2.14,0,1.07,0,0,1.07,0,4.28,18.19,0,23.54,0,1.07,2.14,40.65,77.02,0,0,10.7,1.07,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,16.06,0,2.68,0,5.35,0,1.34,1.34,1.34,1.34,0,0,8.03,1.34,13.39,0,0,0,6.69,6.69,0,0,4.02,1.34,0,1.34,1.34,1.34,0,0,0,4.02
3Month,0.32,10.56,0.96,79.67,0.32,0,2.56,1.6,0.64,46.07,25.6,8.32,9.6,14.72,3.52,39.99,10.88,26.88,5.44,3.2,15.36,0.64,0.32,2.24,2.24,0.32,1.92,63.67,0.32,0,0,0.64,7.68,11.52,67.51
22Month,0,6.01,0,25.69,0,0,0,0.55,1.09,2.73,7.65,0,0.55,3.83,0,3.28,4.37,6.01,0.55,0.55,0,0,0.55,0.55,0,0,0,4.92,0,0,0,0,0.55,0,0
