stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,306.48,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,0,0,267.45,0,3.21,0,0,0,0,0,0,0,0,0,0,7.49,1837.9,0,8.56,0,0,2.14,0,50.28,19.26,0,0,10.7,0,0,1.07,0,1.07,1.07,0,0
21Day,14.72,0,0,888.79,1.34,18.74,0,5.35,0,1.34,0,0,2.68,2.68,14.72,2.68,0,1420.18,9.37,26.77,0,0,2.68,0,40.16,10.71,2.68,2.68,18.74,33.46,1.34,1.34,2.68,13.39,0,0,6.69
3Month,0,2.24,0.96,11.84,2.88,0,0.64,0,0.32,0.32,0,0,77.11,2.24,0,1.6,0.64,64.63,2.56,16,0.64,0.32,7.36,0.96,1.92,1.6,0.64,24.64,0.32,1.28,5.44,0.64,0,0,0.32,1.6,1.92
22Month,0,2.73,1.09,13.67,5.47,0,1.09,0.55,1.09,6.56,1.09,0,96.21,0.55,1.09,6.01,0,17.49,1.64,9.84,0,1.64,4.37,0.55,1.09,0,1.09,1.64,0,0.55,3.83,1.09,0,0,0,0,0
