stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,6.42,0,0,0,0,0,0,0,0,0,0,19.26,5.35,1.07,2.14,0,0,1.07,0
21Day,14.72,0,1.34,0,0,0,0,0,0,0,2.68,10.71,1.34,1.34,0,0,0,4.02,0
3Month,0,0.64,0,0,0,0.32,1.92,0.32,0,0.32,0.32,0,0,0,0,0.32,0.32,0,0.32
22Month,0,1.09,0,0.55,0.55,1.09,12.03,0,0.55,0,0.55,0,0.55,0,0,0,0.55,0,0
