stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,6.69,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.96,0.32,24.96,0.32,0.64,1.92,1.28,29.76,0.96,18.88,2.88,4.48,3.84,41.59,11.52,0.32,0.96,0.32,0,0.64,0.32,3.52,0.64,1.6,1.6
22Month,0,0,0,0,0,0,0,0,3.83,0,3.28,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,0
