stage,Cardiomyocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,1.07,0,1.07,0
21Day,5.35,2.68,0,0,0,0,0,1.34,4.02,5.35,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0.32,0,1.6,0,0,0.32,0.64,0.32,0.32,0,0,0,2.56,0,0.32
22Month,0,0.55,0,1.64,0.55,7.11,1.09,0,0,1.09,0,0,0,7.65,0,7.11,0,0.55
