stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,8.17,0,0,0,126.68,0,0,4.09,0,0,0
72hpf,2.14,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,19.26,0,3.21,0,0,0,0
21Day,0,0,0,2.68,0,6.69,0,0,0,0,0,2.68,0,0,0,1.34,1.34,0,0,0,8.03,0,0,0,0,0,0
3Month,0,0.32,2.24,0,0.32,0.32,0.64,0,0,0.64,0.96,0,0,0.32,0.64,1.6,0,0.32,0.32,0,0,42.23,0,0.32,0.32,11.84,0.96
22Month,0,0,0.55,0,0,0,0,0.55,0.55,1.64,0,0,0.55,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0.55
