stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,11.77,0,1.07,0,1.07,0,1.07,0,0
21Day,0,8.03,1.34,0,0,0,0,0,6.69,0,0,5.35,4.02,0,0,2.68,0,1.34,0,6.69
3Month,0,4.16,0.32,0.32,1.6,0,1.6,0.96,0,1.6,0,0.64,0.32,0,0,0,0.32,0,1.28,2.24
22Month,0,2.19,0.55,0,2.19,1.09,2.19,0,0,2.19,0,0,1.64,1.64,0.55,0,0.55,0,0,2.19
