stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,20.43,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,3.21,0,0,0,11.77,4.28,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,12.05,1.34,0,0,2.68,0,2.68,0,0,0,2.68,0,1.34,2.68,2.68,6.69,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0,7.04,0.32,0,0.32,0,2.56,5.12,0.64,3.52,6.72,0,1.6,0.32,4.8,3.84,2.88,0.64,0.32,0.32,0,0.32,0.32,0,0.32,0.32,4.48,0,0,0,0.64,1.6,2.88
22Month,0,1.09,0.55,4.37,0,0,0,0,1.09,10.39,1.64,13.12,4.37,0,4.92,0.55,0,6.01,0.55,0,0,0,0,0,0,0.55,0,0,2.19,0,0.55,0,0.55,0,0.55
