stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,1.28,0,2.56,2.24,0.64,0,0.32,0.32,0.64,89.59,0.96,0.64,0,0.32,0.32,0,0,3.84,0.32,0.32,0.96
22Month,0.55,0,0,0.55,1.09,1.09,0,0.55,0,0.55,0,30.61,0,0,0.55,0,0,0,1.64,0,0,0,0
