stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,8.17,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,1.07,3.21,1.07,2.14,0,0,34.23,5.35,0,0,0,0,0,0,0
21Day,1.34,1.34,0,4.02,1.34,0,0,0,1.34,0,0,1.34,0,4.02,0,0,13.39,0,0,1.34,0,2.68,0,0,1.34
3Month,0,0.32,0.32,1.28,2.24,0,2.56,2.24,0,1.28,0.64,0.64,1.6,0.96,0.32,0.32,0,0,0.32,0.32,0.32,27.2,0.32,2.24,0.32
22Month,0,0,0,0.55,0.55,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0.55,0,0
