stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,16.35,0,0,0,4.09,36.78,0,12.26,0,0,0,0
72hpf,0,2.14,1.07,0,11.77,3.21,2.14,3.21,2.14,1.07,0,0,1.07
21Day,8.03,4.02,0,0,0,0,1.34,6.69,0,0,1.34,1.34,0
3Month,0,0,0,0,0,0,0,0,0,0,0,1.28,0
22Month,0,0.55,0,1.64,0,0.55,0.55,0.55,0,0,0,1.09,0
