stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,1.07,3.21,0,1.07,27.81,2.14,0,1.07,0,0,0
21Day,5.35,0,0,1.34,0,1.34,0,0,1.34,0,2.68,41.49,2.68,0,0,1.34,1.34,0
3Month,0.32,0,0.32,0,0.32,0,0,0,0,0.32,0.64,0.96,0,0,0,0,0,0.32
22Month,0,0,0,2.73,0,0,0.55,0,0,0,0,1.09,0,0.55,0,0,0,0
