stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,T_cell
21Day,4.02,0,0,0,1.34,0,0,0,0,1.34,0,2.68,0
3Month,1.28,0,0,0.32,0,0.64,0,1.6,0.64,0,0,0,0.32
22Month,0,0.55,0.55,0.55,0,0,0.55,3.28,0.55,0,6.01,0,0
