stage,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,12.26,0,0
72hpf,1.07,0,0,0,1.07,2.14,0,7.49,1.07,3.21,0
21Day,0,1.34,1.34,1.34,0,0,1.34,6.69,0,0,0
3Month,0.32,0,0,0,0,0.32,0,0.32,0,0,1.92
