stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,0,0,36.37,3.21,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,22.76,1.34,0,0,0
3Month,5.12,1.28,0.96,0,1.6,0.32,0.64,0,0,1.28,0.64,0.32,83.51,0,0,2.88,2.24
22Month,5.47,0.55,2.19,0.55,2.73,0,0,0,0,1.09,0.55,0,57.95,0,0.55,0.55,0
