stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,6.42,0,1.07,0,0
21Day,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0.32,0.32,0,0,0,0.32,0.32
22Month,1.09,0.55,0,0,0,0,0,0,0
