stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,1.34,0,1.34,0,0
3Month,0.64,0.64,0.32,0,0.32,0.64,2.24,0.32
22Month,0,1.09,0,0,0,0,0,0
