stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,98.07,0,0,0,0,0,0
72hpf,5.35,1.07,3.21,1.07,0,0,1.07,0,0,0,0,3.21,0,1.07,1.07,0,0,285.63,80.23,0,3.21,4.28,0,0,19.26
21Day,0,0,2.68,1.34,0,0,0,0,0,0,1.34,0,0,4.02,0,0,0,53.54,10.71,0,1.34,0,6.69,0,1.34
3Month,0,0.32,0.64,0,0.32,0.32,0,0,3.2,0.64,0.96,1.28,0,0.96,0,0.32,0.32,0.96,0,0.32,0,0,0.96,1.28,0
22Month,0,2.19,1.09,0,0,1.64,0,1.09,17.49,0.55,0.55,0,1.64,3.83,0.55,0,0,0,0,0.55,0,0,0,0,0
