stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,8.17,0,12.26,0,0,0,0,0,0,0,89.9,0,0,0,16.35,518.97,0,0,4.09,0,0,0,0
72hpf,3.21,0,2.14,1.07,5.35,0,0,0,0,1.07,29.95,0,1.07,0,228.94,109.12,0,3.21,25.67,0,12.84,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,4.02,0,0,2.68,22.76,14.72,2.68,0,2.68,0,5.35,0,2.68
3Month,0,0.96,0.32,0,0,0.32,0,1.28,0.32,0,0.64,0.32,0,0,0,0,0,0.32,0,0.64,0,0,0.64
22Month,0,0,0.55,0,0,0,3.28,2.19,0,0,0,0,0.55,0,0,0,0,0,0,4.92,0,0,0
