stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,0
3Month,1.92,1.6,0.32,0,0.32,0,0,0,0.64,0,0.32,0.96,0.64
22Month,0,0,0,0.55,0.55,0,0.55,0.55,0,0,0,0,0
