stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,85.81,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,0,0,0,0,0,1.07,0,3.21,0,0,2.14,1.07,0,3.21,7.49,1.07,0,0,1.07,0,0
21Day,2.68,0,0,5.35,2.68,0,0,0,0,4.02,0,0,0,2.68,4.02,0,1.34,2.68,1.34,5.35,0,0,0,0,0
3Month,0,0.32,0.32,4.8,0,1.28,1.92,11.52,0.32,0,2.88,0.32,0.32,1.6,0.64,0,1.28,0,0,0,0.96,4.16,0,0.32,0.32
22Month,0,0,0,0,0,0,0,4.92,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
