stage,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
21Day,0,9.37,0,0,2.68,2.68,0,0,2.68,1.34,0,0,1.34
3Month,0.32,0.32,2.24,0.96,1.6,0,0.64,0.32,3.84,0,0,0.32,0.96
22Month,0,0,2.19,0.55,2.19,1.64,0,0,1.64,0,0.55,0,0
