stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,73.56,0,0,0,0,16.35,1250.44,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,17.12,2.14,0,22.47,20.33,4.28,0,0,0,0,0,0,0,0,4.28,82.37,0,118.75,0,0,6.42,0,404.38,329.5,0,1.07,0,146.56,0,0,49.21,0,0,6.42,0,0,0
21Day,28.11,0,1.34,13.39,2.68,14.72,0,1.34,0,0,0,1.34,5.35,2.68,1.34,25.43,5.35,302.51,0,0,9.37,0,273.06,322.59,1.34,1.34,0,113.78,22.76,0,24.09,6.69,2.68,6.69,0,0,8.03
3Month,0,0.32,0,16.64,0.64,0,0.32,0,0.32,1.6,1.6,1.28,0,0.64,0.32,1.92,1.28,52.79,6.08,0,0.64,0.96,1.92,3.52,1.6,0.32,0,0.96,0.64,1.28,0.96,0,0,0.96,1.6,2.56,0.64
22Month,0,0.55,0,4.37,0.55,0,0,0.55,0,3.83,10.93,0,0.55,1.64,0,6.56,0,88.01,1.64,0.55,2.19,0,1.09,6.01,0.55,0,0.55,0,0,3.83,3.83,0,0,0,0,0,0
