stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,8.17,0,0,0,0,0,12.26,4.09,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,3.21,1.07,0,0,0,0,10.7,4.28,0,0,4.28,3.21,0,0,0,1.07,0
21Day,2.68,17.4,0,0,1.34,0,1.34,13.39,2.68,0,1.34,5.35,4.02,0,2.68,0,0,1.34
3Month,0,1.92,0,0.64,0,0,0,0.64,0.32,0.32,0,0,0,0.32,0,0.64,0,0
22Month,0,0,0,0,0,1.64,0,0.55,0.55,0,0,0,0,0,0,0,0,0
