stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,4.02,8.03,0,0,0,1.34,0,0,0,0,0,1.34,0,8.03
3Month,0.64,0,0.64,0,0,0.32,0.64,0,5.12,0.32,0.32,0,0.32,3.2,0.32,0.64,0,0.32,0.64,0,0.32,9.92
22Month,1.64,0,2.19,0,1.09,0.55,2.19,7.11,1.64,0,0.55,0.55,0,1.09,0,0,0,0,0.55,0,0,3.83
