stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,5.35,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.24,0.32,5.76,1.28,0,1.28,269.72,0,7.36,80.95,1.28,2.88,1.28,2.24,6.08,1.92,0.32,0,0.96,1.6,0.32,0.64,2.56,3.52,0.64,0.32,1.6,5.44
22Month,0.55,0.55,0,1.64,2.19,0.55,0,380.47,0.55,8.2,22.41,1.09,0.55,0.55,0.55,10.93,1.64,0,0.55,0,1.09,0,0.55,0,0,1.64,1.09,0,1.09
