stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,12.26,0,36.78,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,16.35,723.29,0,0,0,98.07,1830.71,0,0,0,167.54,0,0,0,0,0,0,0,0,0
72hpf,41.72,10.7,0,22.47,18.19,0,0,0,0,0,0,0,0,6.42,0,17.12,46,8.56,1346.87,0,3.21,17.12,196.84,295.26,0,0,0,750.99,1.07,1.07,106.98,2.14,0,14.98,0,0,0
21Day,73.62,1.34,4.02,74.96,29.45,0,20.08,0,0,1.34,0,4.02,0,10.71,9.37,1.34,29.45,16.06,1243.5,0,0,69.6,96.37,202.12,0,6.69,0,374.79,28.11,5.35,68.27,6.69,8.03,21.42,2.68,1.34,6.69
3Month,0.64,6.08,0.64,19.84,0,1.28,0,1.92,3.52,19.52,0.96,19.52,3.2,0,5.12,0.64,17.28,13.12,365.38,147.5,0.32,14.08,0.96,1.92,2.24,0.64,0,3.84,2.88,151.66,3.2,0,0,1.6,18.56,20.48,3.2
22Month,0.55,8.2,1.64,11.48,0,1.64,2.19,1.09,3.83,10.93,6.01,58.49,1.64,8.2,21.87,0.55,3.28,28.43,516.04,15.85,2.19,9.29,0.55,1.09,1.09,1.64,1.64,1.64,0.55,55.21,20.77,0.55,0,1.64,1.09,0,2.19
