stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,2.68,1.34,0
3Month,0.32,0,3.2,0,0,0.64,0.32,0,0.96,0.64,0.96,0.32,0.64,0.64,1.92,0,0,0,0.32,15.68,1.28,0.32
22Month,0,0.55,2.19,0,0.55,1.09,0.55,0.55,13.12,0,2.19,0,0.55,0.55,3.28,0,0,9.29,0,24.05,0,0
