stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,60.98,0,0,1.07,0,0,0,5.35,4.28,0,0,0
21Day,1.34,0,2.68,2.68,1.34,0,0,0,0,0,0,0,1.34,0,0,0,1.34,1.34,16.06,2.68,0,0,0,1.34,0,5.35,16.06,0,0,0
3Month,0,0,27.84,0.96,0,1.28,0.96,0,6.4,1.28,1.6,1.6,2.56,1.6,1.28,0.32,0.32,1.92,13.76,0,1.6,0,0.32,34.55,0.32,0,0,0.96,6.4,0.32
22Month,0,1.64,3.28,0,0,0,2.19,0.55,12.03,1.09,1.09,0,1.64,1.09,0,0.55,0,0,1.09,0,0,0,0,10.39,0,0.55,0,0,0.55,0.55
