stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,6.42,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,2.56,0.64,1.92,2.56,0,0,396.42,2.24,8.32,0.96,7.36,1.28,1.92,0.64,0.32,1.6,0.64,0.32,0,0.64,0.64,0,0.64,8.64,2.56,0.32,1.28,2.56,0.32
22Month,0.55,0.55,1.09,4.37,1.09,1.09,4.92,1.09,0,1017.32,2.19,4.92,1.09,6.56,4.37,4.37,0.55,13.12,1.09,0,0,0.55,0,3.28,1.09,0.55,3.83,0.55,0.55,0,0,1.09
