stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,61.3,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,0,0,106.25,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,0,0,9.63,28.88,0,9.63,0,5.35,1.07,2.14,9.63,13.91,0,1.07,17.12,2.14,0,0,1.07,0,1.07,0,0,0
21Day,8.03,2.68,8.03,127.16,1.34,5.35,0,1.34,0,0,0,0,0,33.46,0,1.34,5.35,4.02,81.65,5.35,38.82,0,0,0,5.35,18.74,10.71,0,0,32.12,32.12,0,0,0,2.68,1.34,0,0,4.02
3Month,0.64,1.6,36.47,78.07,0.32,0,4.16,0.64,0.64,16.96,6.72,0,0,804.03,8.32,0.64,405.7,4.8,40.31,4.16,29.44,10.88,0.64,5.12,135.98,0.64,0.32,3.84,2.88,2.88,20.48,1.28,19.84,0.64,0,0.64,3.2,5.44,5.44
22Month,0,0.55,2.73,22.41,0,0,0,0,0,1.64,2.19,101.13,0,23.51,0,0,44.28,0.55,6.56,1.09,7.65,0,0.55,1.64,3.83,1.09,0,3.83,0,0.55,0,0,3.28,0,0,0,0,0,0
