stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,93.99,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,33.16,1.07,0,1.07,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,1.34,0,0,0,0,18.74,2.68,0,0,1.34,1.34,0,0
3Month,0,0,0.96,0.64,0,0.64,0,0.32,0.32,0.32,0.32,0.32,0,0.96,0,0,0,0,1.28,0.32,0.32
22Month,0.55,0.55,0.55,2.19,0.55,3.28,0.55,0,0,0,1.09,0.55,0,1.09,0.55,1.09,0,0,4.37,0,0
