stage,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Radial_glia
24hpf,4.09,4.09,0,0,0,0
72hpf,0,0,0,3.21,0,1.07
21Day,0,2.68,1.34,0,1.34,0
