stage,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,4.09
72hpf,0,0,1.07,1.07,0
21Day,1.34,1.34,0,0,0
