stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,10.7,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,57.56,0,0,0,0,0,0,18.74,0,1.34,0,1.34,0,0,1.34,1.34,0,0,0,2.68,6.69,0,0,0
3Month,0.32,0.64,0,31.36,1.92,6.4,9.6,3.52,3.84,0.96,335.95,3.2,5.76,0.96,0,0.64,2.24,0.32,0,3.2,1.6,0.96,0,0,0.96,1.6,3.2
22Month,0,0,3.28,2.19,3.28,0,1.09,0,0.55,0,6.56,0,2.73,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0
