stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,8.17,0,0,0,4.09,0,0,0,16.35,8.17,0,0,0,81.73,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,49.21,1.07,0,0,8.56,1.07,0,0,2.14,1.07,0,0
21Day,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.64
22Month,1.64,0.55,0,0,0.55,0,14.76,1.09,1.64,0.55,4.92,0.55,1.09,0,0,0.55,51.39,0,0,0.55,0
