stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Spermatocyte
24hpf,57.21,0,0,0,0,0,0,0,0,4.09,0
72hpf,26.74,0,0,0,0,0,0,0,0,1.07,0
21Day,9.37,0,0,1.34,0,1.34,0,0,1.34,1.34,0
3Month,0.96,0.32,0,0.32,0,0.32,0.32,0.32,0,0,0.32
22Month,0,0.55,0.55,0,0.55,4.37,0,1.09,0.55,0,0
