stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,59.91,1.07,2.14,0,0,0,0
21Day,34.8,0,0,0,0,0,1.34,24.09,0,1.34,0,1.34,0,0
3Month,1.28,0,0,0.96,0.64,0.32,0.32,0,0.32,0.32,0,0,0.32,0.64
22Month,0.55,0.55,0.55,13.67,0,2.19,0,0,0.55,0,0.55,0,0,0.55
