stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,1.07,0,0,0,2.14,0,0,0,5.35,1.07,1.07,0,1.07,0,0,0
21Day,0,0,2.68,1.34,0,0,1.34,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0
3Month,0.32,0,0,0,0.32,0,10.24,0,0,0,0.32,0.32,0,0.32,0,0.64,0,0,0,0,0,0.96,0,0
22Month,1.09,0.55,0,0,0,0.55,33.35,0.55,0,4.37,0,0,0.55,0,0.55,0,0.55,0,1.09,0.55,0,1.09,0,0.55
