stage,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,81.3,12.84,0,2.14,0,1.07,0,3.21
21Day,0,2.68,1.34,0,5.35,1.34,37.48,4.02,1.34,0,1.34,0,2.68,1.34
