stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,3.21,0,0,0,0,1.07,4.28,0,2.14,0,1.07,1.07,0,0,1.07,0
21Day,1.34,0,2.68,0,0,0,0,0,1.34,0,1.34,1.34,0,1.34,0,0,0,1.34
3Month,0,0,1.92,0.32,1.6,0.32,0,0,0,0.32,0.32,0.32,0,0,0.32,0.32,0,0.32
22Month,0,0,2.19,0,3.28,0,1.09,0,0,1.64,1.64,0,0,0,0,0,0,1.09
