stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0.64,16.32,0,1.6,0.64,13.44,2.24,0,6.08,1.6,2.24,0.96,2.88,0.64,0.32,1.6,0.32,0.32,0.64,0.64,0.96,0.32,2.56,0.64,0.64,666.13,0.32
22Month,0,0,1.64,0.55,0,0,4.37,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,1.09,0,0,2.73,0,0,2.19,0
