stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,1.07,0,1.07,0,0,0,0,0,0,8.56,0,1.07,6.42,2.14,0,0,0
21Day,1.34,0,10.71,0,0,0,0,0,0,5.35,1.34,12.05,34.8,1.34,2.68,0,0
3Month,0,0,0.64,0.32,0.32,0,1.28,0,0.64,0.32,0.32,0.32,0,0,0,0.96,0
22Month,0,0.55,1.09,0,1.09,0.55,4.92,0.55,0,0.55,0,0,0,0,0,0,0.55
