stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0
72hpf,0,2.14,0,0,1.07,0,0,0,3.21,0,0
21Day,0,4.02,0,2.68,0,0,0,1.34,0,1.34,2.68
3Month,0.32,0,0.64,0,0,0,0,0.64,0,0,0
22Month,0,0,12.03,1.09,0,0.55,0.55,0,0,0,1.64
