stage,Epithelial_cell,Intestinal_bulb_cell,Mesenchymal_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,0,0
21Day,0,0,2.68,1.34,0,0,0
3Month,0.32,0.32,0,0,0.32,0.32,3.2
