stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,28.6,4.09,4.09,0,0,0,0,8.17,110.33,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,8.56,9.63,40.65,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,1.07,0,0,0,13.91,11.77,0,0,0,1.07,0,0,14.98,0,0,0,0
21Day,0,0,10.71,4.02,33.46,0,0,0,0,1.34,0,0,0,5.35,0,0,0,0,4.02,0,0,0,8.03,4.02,0,0,0,0,16.06,0,1.34,0,0,0,0
3Month,0.96,0.32,140.14,3.52,0,0.64,0.32,0.64,0.64,0,0,7.04,2.56,0.32,3.2,19.84,1.92,4.16,1.28,0.96,1.6,5.44,4.8,0.64,0.96,0.32,0,0.32,10.24,16.96,1.28,2.88,1.6,192.29,1.28
22Month,1.09,0,66.69,0,0,1.09,0,0.55,0.55,0.55,0,6.56,1.64,0.55,2.73,0.55,1.09,1.64,2.73,0,0,1.09,0,1.09,1.09,0,0.55,0,4.37,21.87,2.19,0.55,0,1.09,0.55
