stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0
3Month,1.28,0.32,0.32,40.31,0.64,0.96,0.32,0.96,1.28,0.32,0.64,0.32,0.64,3.84,0.96,0.64
22Month,0,0,0,4.92,0,0,0,0,0,1.09,0,0,0,0,0,0
