stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,12.26,0,69.47,4.09,0,0,0,0,0,0,0,0,0,8.17,12.26,8.17,110.33,0,0,0,4.09,24.52,735.55,0,0,8.17,0,0,0,0,0,8.17,0,0,0
72hpf,35.3,11.77,0,29.95,3.21,3.21,0,0,0,0,1.07,0,1.07,0,9.63,66.33,10.7,165.82,0,1.07,2.14,4.28,356.24,202.19,1.07,3.21,156.19,1.07,0,70.61,2.14,2.14,13.91,0,0,0
21Day,25.43,4.02,0,124.48,4.02,14.72,0,1.34,1.34,0,2.68,1.34,5.35,5.35,1.34,65.59,21.42,133.85,0,0,20.08,0,81.65,46.85,0,1.34,64.25,9.37,0,18.74,2.68,6.69,0,0,0,6.69
3Month,0,3.2,0.64,19.84,0.96,0,0.96,2.56,0.32,0,42.55,0.32,0.32,9.28,0,2.88,13.44,7.68,2.24,0,0.32,1.28,1.28,0,1.6,0,0.64,0,2.24,0.64,0,0,0,4.48,0.64,2.88
22Month,0,4.92,1.09,20.23,0,0,0,3.28,2.19,5.47,78.72,0.55,0.55,13.67,0,2.73,22.41,13.12,0,1.09,0.55,0,2.19,0,0.55,1.64,0,0,0.55,0,0.55,0,0,0.55,0,3.83
