stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,12.26,0,8.17,0,0,4.09,32.69,4.09,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,1.07,0,0,0,0,0,8.56,0,6.42,1.07,1.07,55.63,4.28,6.42,0,4.28,5.35,3.21,0,0
21Day,1.34,0,2.68,0,1.34,0,0,0,0,1.34,2.68,0,9.37,0,0,12.05,1.34,0,1.34,8.03,2.68,14.72,0,1.34
3Month,0,0,0.32,0,0,0,0,0.64,0,0.64,0,0.32,0,0,0,0,0,0,15.68,0,0,0,2.24,0
22Month,0,0.55,0,0,0,0,0.55,0.55,0.55,0,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0,0
