stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0.32,1.6,0,0.32,0,0.96,0.96,35.83,0.32,1.28,0.96,0,0.32,0.32
22Month,3.83,0.55,0.55,2.19,0.55,3.28,0,66.15,0,0.55,0.55,0.55,0.55,0
