stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,77.64,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,63.12,7.49,0,54.56,2.14,39.58,0,0,0,0,1.07,0,1.07,0,17.12,110.19,9.63,50.28,5.35,0,0,6539.63,308.1,1.07,1.07,0,67.4,0,0,36.37,0,0,7.49,0,0,0
21Day,17.4,1.34,0,50.86,0,17.4,0,0,2.68,0,1.34,0,8.03,8.03,0,8.03,5.35,9.37,0,8.03,0,900.83,21.42,0,1.34,0,4.02,45.51,0,1.34,1.34,4.02,1.34,0,0,0
3Month,0.32,0.64,0.32,57.27,0,0,0.32,0.96,1.92,0,22.08,1.6,0,3.52,0.64,75.19,1.92,1.92,0,0.64,0.32,1.28,0,0.32,0,0,0,0.96,4.16,0,0,0,0,0.32,0.64,1.6
22Month,0,0.55,0,0,0,0,0.55,0,1.09,1.09,20.77,1.09,2.19,2.19,0,8.2,1.64,1.09,0.55,0,0,1.64,0,0,0,0.55,0,0,3.83,0,0,0,0,0,0,0
